oid,host_id,z
ZTF20aclpaah,SDSS J084410.28+412820.1,0.069
ZTF20acmddof,WISEA J060633.80+473519.0,
ZTF20aclxbwk,2MASX J23463843-0354339,0.074975
ZTF20aclwtfp,WISEA J191257.09+820542.8,
ZTF20acmgalc,WISEA J072951.92+110506.7,
ZTF20aclwclm,NGC 6574,0.007612
ZTF20aclvxyb,SDSS J175339.08+525315.8,0.153
ZTF20aclvtnk,SDSS J173209.23+533908.4,0.058
ZTF20acmewnr,WISEA J080522.59-164804.3,
ZTF20acmgbfp,SDSS J073126.41+144725.8,0.118
ZTF20aanrokf,SDSS J093712.42+381857.2,0.957
ZTF20achoqvb,2MASX J11112499+2832141,0.030554
ZTF20aclybob,WISEA J011714.86-263805.2,0.14
ZTF20acjsbno,WISEA J103439.10+110321.5,0.113887
ZTF20aclnikh,SDSS J085403.05-024631.2,0.178
ZTF20acjrytv,WISEA J101835.77+115331.4,0.060119
ZTF20acfxnpf,WISEA J095820.84+162958.3,0.039377
ZTF20aclnplo,WISEA J102538.99+164714.2,0.034704
ZTF20ackqzeu,WISEA J044538.79-033912.3,
ZTF20acmbgcz,WISEA J042027.81-224028.5,
ZTF20aclzkql,WISEA J055351.44+725732.6,
ZTF20acmgbbs,SDSS J073454.88+122137.5,0.097
ZTF20aclwssg,WISEA J183524.56+742138.7,
ZTF20acmfdek,SDSS J084424.10+183543.0,0.178
ZTF20aclnihv,SDSS J080949.26+250115.1,0.175
ZTF20acmbnqp,SDSS J070839.06+381407.8,0.331
ZTF20aacsfws,WISEA J075200.65-040511.4,
ZTF20acllvho,WISEA J044035.05-095813.7,
ZTF20acmgpav,SDSS J091043.97+191300.1,0.425
ZTF20acmgnhu,SDSS J093744.31+402033.5,0.060
ZTF20acmgoks,SDSS J093431.94+152916.7,0.172
ZTF20acmcqwc,ESO 486- G 044,0.031168
ZTF20aclghkr,SDSS J075826.39+242615.2,0.161
ZTF20acmgmzq,SDSS J101126.34+303008.4,0.205
ZTF20aclwlps,WISEA J223623.22-213549.6,
ZTF20aclpacy,WISEA J095346.32+381752.9,0.108579
ZTF20achowpe,WISEA J105100.76+300325.0,0.125782
ZTF20aclzegl,SDSS J043051.09+090408.4,0.095
ZTF20aclzwsx,SDSS J041838.19+322721.6,0.041
ZTF20aclzygy,WISEA J005438.69-263758.5,
ZTF20aclvisg,WISEA J203914.00-224252.9,
ZTF20acloens,SDSS J102355.60+634206.3,0.266
ZTF20ackrxtu,WISEA J085913.88+360815.8,
ZTF20aclngyr,SDSS J103132.11+463120.6,0.229
ZTF20aclfrhy,SDSS J080801.69+504829.9,0.203
ZTF20aclgcpg,WISEA J083640.01+404500.0,0.425
ZTF20aclmynx,WISEA J072631.95+084230.1,
