object,nobs,first_detection,last_detection,count,report_type,last_date,first_date,source,alerce_link
ZTF21aclzzex,2,2021-11-05T13:08:49.998Z,2021-11-07T12:25:10.004Z,1,TOM,2021-11-07T14:58:03.261695Z,2021-11-07T14:58:03.261695Z,,https://alerce.online/object/ZTF21aclzzex
ZTF18aajmpgu,2,2021-11-07T12:44:38.003Z,2021-11-07T12:48:10.002Z,1,TOM,2021-11-07T14:56:24.087836Z,2021-11-07T14:56:24.087836Z,,https://alerce.online/object/ZTF18aajmpgu
ZTF21acngciq,2,2021-11-07T11:54:03.997Z,2021-11-07T12:22:26.000Z,1,TOM,2021-11-07T14:55:40.820957Z,2021-11-07T14:55:40.820957Z,,https://alerce.online/object/ZTF21acngciq
ZTF21acnhxys,2,2021-11-07T12:44:38.003Z,2021-11-07T12:48:10.002Z,1,TOM,2021-11-07T14:55:37.705536Z,2021-11-07T14:55:37.705536Z,,https://alerce.online/object/ZTF21acnhxys
ZTF21aclrkgs,2,2021-11-05T07:05:19.000Z,2021-11-07T05:02:09.001Z,1,TOM,2021-11-07T14:55:33.174033Z,2021-11-07T14:55:33.174033Z,,https://alerce.online/object/ZTF21aclrkgs
ZTF21acngksw,2,2021-11-05T12:51:28.999Z,2021-11-07T12:18:20.002Z,1,TOM,2021-11-07T14:55:26.873406Z,2021-11-07T14:55:26.873406Z,,https://alerce.online/object/ZTF21acngksw
ZTF21acmwkpd,2,2021-11-05T07:50:12.002Z,2021-11-07T07:20:26.002Z,1,TOM,2021-11-07T14:55:20.141823Z,2021-11-07T14:55:20.141823Z,,https://alerce.online/object/ZTF21acmwkpd
ZTF21acmrhta,2,2021-11-05T02:10:11.001Z,2021-11-07T03:26:34.002Z,1,TOM,2021-11-07T14:55:12.670693Z,2021-11-07T14:55:12.670693Z,,https://alerce.online/object/ZTF21acmrhta
ZTF21acmtexd,2,2021-11-05T04:36:08.997Z,2021-11-07T04:34:28.004Z,1,TOM,2021-11-07T14:54:57.245202Z,2021-11-07T14:54:57.245202Z,,https://alerce.online/object/ZTF21acmtexd
ZTF21aclyyhj,2,2021-11-05T12:10:07.003Z,2021-11-07T12:21:45.003Z,1,TOM,2021-11-07T14:54:43.794226Z,2021-11-07T14:54:43.794226Z,,https://alerce.online/object/ZTF21aclyyhj
ZTF21acnhtle,2,2021-11-07T12:48:10.002Z,2021-11-07T12:51:43.004Z,1,TOM,2021-11-07T14:54:32.815538Z,2021-11-07T14:54:32.815538Z,,https://alerce.online/object/ZTF21acnhtle
ZTF21acmenvj,3,2021-11-02T05:51:52.998Z,2021-11-06T05:13:33.004Z,1,TOM,2021-11-07T14:53:54.571856Z,2021-11-07T14:53:54.571856Z,,https://alerce.online/object/ZTF21acmenvj
ZTF21aclcfej,3,2021-11-05T07:55:16.000Z,2021-11-07T07:45:35.004Z,1,TOM,2021-11-07T14:53:39.703525Z,2021-11-07T14:53:39.703525Z,,https://alerce.online/object/ZTF21aclcfej
ZTF21acmthji,3,2021-11-05T04:43:03.000Z,2021-11-07T04:46:06.997Z,1,TOM,2021-11-07T14:53:29.165330Z,2021-11-07T14:53:29.165330Z,,https://alerce.online/object/ZTF21acmthji
ZTF21ackzqto,3,2021-11-02T06:58:55.998Z,2021-11-06T03:35:46.997Z,1,TOM,2021-11-07T14:53:12.153548Z,2021-11-07T14:53:12.153548Z,,https://alerce.online/object/ZTF21ackzqto
ZTF21acmterh,3,2021-11-04T05:03:12.997Z,2021-11-07T04:34:28.004Z,1,TOM,2021-11-07T14:53:08.367530Z,2021-11-07T14:53:08.367530Z,,https://alerce.online/object/ZTF21acmterh
ZTF21acnfwew,3,2021-11-03T12:29:05.004Z,2021-11-07T11:38:18.004Z,1,TOM,2021-11-07T14:52:58.745600Z,2021-11-07T14:52:58.745600Z,,https://alerce.online/object/ZTF21acnfwew
ZTF21abjxffn,3,2021-11-05T13:08:49.998Z,2021-11-07T12:25:10.004Z,1,TOM,2021-11-07T14:52:53.921128Z,2021-11-07T14:52:53.921128Z,,https://alerce.online/object/ZTF21abjxffn
ZTF21acnfsun,3,2021-11-03T12:29:46.000Z,2021-11-07T11:35:28.997Z,1,TOM,2021-11-07T14:52:21.205473Z,2021-11-07T14:52:21.205473Z,,https://alerce.online/object/ZTF21acnfsun
ZTF21acngcfz,4,2021-11-03T12:23:37.003Z,2021-11-07T11:53:20.996Z,1,TOM,2021-11-07T14:51:53.934463Z,2021-11-07T14:51:53.934463Z,,https://alerce.online/object/ZTF21acngcfz
ZTF21ackoftn,4,2021-11-04T07:09:27.003Z,2021-11-06T07:04:42.004Z,1,TOM,2021-11-07T14:51:51.141522Z,2021-11-07T14:51:51.141522Z,,https://alerce.online/object/ZTF21ackoftn
ZTF21acmwrdh,4,2021-11-05T05:11:02.996Z,2021-11-07T07:28:39.000Z,1,TOM,2021-11-07T14:51:37.542880Z,2021-11-07T14:51:37.542880Z,,https://alerce.online/object/ZTF21acmwrdh
ZTF18aaejisa,4,2021-11-03T12:08:19.003Z,2021-11-07T11:14:39.998Z,1,TOM,2021-11-07T14:51:16.573866Z,2021-11-07T14:51:16.573866Z,,https://alerce.online/object/ZTF18aaejisa
ZTF21acnhuxf,4,2021-11-04T12:48:37.002Z,2021-11-07T12:55:15.997Z,1,TOM,2021-11-07T14:51:13.617179Z,2021-11-07T14:51:13.617179Z,,https://alerce.online/object/ZTF21acnhuxf
