oid,host_id,z
ZTF18acibujg,[VCV96] A 1136+486,0.101655
ZTF20aajciqj,WISEA J145222.75+080317.4,0.139402
ZTF20aajcpyy,SDSS J143816.31+240341.8,0.109
ZTF20aajcgra,SDSS J150137.00+574431.4,0.160
ZTF20aajcfmq,SDSS J163702.21+511112.9,0.106
ZTF20aajcezg,WISEA J150911.23+300142.0,0.08888
ZTF20aajbunq,Mr19:[BFW2006] 09694,0.03252
ZTF20aajbzkm,SDSS J124216.58+162553.5,0.107
ZTF20aajbtgd,SDSS J104548.18+471214.1,0.289
ZTF20aaivokm,SDSS J010641.15+035637.0,0.092
ZTF20aaivjce,WISEA J025547.88+150557.9,
ZTF20aaivqft,SDSS J022554.90-085711.4,
ZTF20aaivtof,WISEA J024818.20-092651.9,
ZTF18abxuzwl,WISEA J041810.01-132520.0,
ZTF20aaizayl,SDSS J081150.10-071445.9,0.148
ZTF20aajanhd,KUG 0941+273,0.033272
ZTF20aajcgeu,SDSS J142924.31+602646.7,0.278
ZTF20aajciaq,SDSS J144843.75+050440.0,0.118
