oid,host_id,z
ZTF20aczhgid,WISEA J153608.66+003110.3,0.095308
ZTF20aczfzez,SDSS J145115.01+412456.2,0.111
ZTF20aczfypt,SDSS J131939.31+090651.5,0.106
ZTF20aczgpuu,LCRS B132751.4-033605,0.123249
ZTF20acyxrez,WISEA J101620.03-013055.7,0.0917
ZTF20aczfrus,WISEA J095620.99-245201.8,
ZTF20acywefl,WISEA J075328.09+281544.7,0.058596
ZTF20aczapxo,WISEA J063056.25+304633.0,
ZTF20aczanfs,2MASS J06433103+3331434,
ZTF20aczacag,WISEA J025942.97+330936.0,
ZTF20aczaawu,MCG-03-10-009,0.0315
ZTF20acynjic,SDSS J230153.43+244853.9,0.097
ZTF20aczhexa,WISEA J144226.17-174755.5,
ZTF20aczhkhv,WISEA J162208.40+210500.2,0.126892
ZTF20acyruop,SDSS J153037.86+464638.1,0.302
ZTF20aczgoml,WISEA J150423.48+355353.2,0.045319
ZTF20acyrsry,WISEA J124959.08+125609.9,0.083072
ZTF20aczfwjj,WISEA J123123.53-135445.8,
ZTF20acywbhv,SDSS J092238.48+520545.3,0.078
ZTF20acyvzje,SDSS J083127.86+533046.0,0.098
ZTF20acyrhbo,SDSS J093946.33+191309.0,0.073
ZTF20acwvdhh,WISEA J072653.21+515224.8,
ZTF20acyqjis,WISEA J063929.91+511539.4,
ZTF20acyntiu,WISEA J024234.88+090126.6,
ZTF20acynjjo,NGC 7311,0.01512
ZTF20acymzwb,WISEA J004358.79+152419.1,0.112036
ZTF20acxzsgo,SDSS J124701.99-051047.1,0.092
ZTF20aczdrqo,SDSS J080152.75+653606.9,0.287
ZTF20aczaldj,WISEA J075910.44+680627.3,
ZTF20acylptw,WISEA J071053.21+424047.9,
ZTF20acwjkxg,WISEA J070252.92+471327.9,
ZTF20acxuibv,WISEA J225240.20+350617.5,
ZTF20aczhkic,2MASX J15493935+1026287,0.071846
ZTF20aczfxqm,WISEA J131917.21+004708.2,0.101797
