oid,host_id,z
ZTF20abznndn,SDSS J083814.18+094424.6,0.119
ZTF20abznnbn,SDSS J083243.86+113312.2,0.080
ZTF18aawrqwm,WISEA J165621.29+434708.8,0.099832
ZTF20acgiglu,UGC 01769,0.026728
ZTF20acghodf,NGC 6993,0.020254
ZTF20acghnke,2MASX J20563629-2300106,0.0747
ZTF20acfxljf,SDSS J093315.13+483329.3,0.352
ZTF20acfxiem,WISEA J090103.21+373231.7,0.111272
ZTF20acgkbkm,WISEA J095406.50+485321.0,0.046652
ZTF20acabdct,SDSS J080545.71+073526.3,0.053267
ZTF20acggvnn,WISEA J200250.04-141459.3,
ZTF19aarmtgu,WISEA J080636.85+102727.8,0.041831
ZTF20acfvqdz,WISEA J042648.05-195200.6,0.033306
ZTF20abxyifx,WISEA J090535.53+615737.8,0.025659
ZTF20acgkbjz,SBS 1000+535,0.044627
ZTF20acgkgyd,WISEA J062503.38+091819.7,
ZTF20abxkwca,WISEA J082032.59+562836.5,0.027813
ZTF20acgcgnf,2MASX J07530452+2917102,0.089466
ZTF20abyosmd,2MASX J08283097+1728017,0.021065
ZTF20acgigfo,M31,
