oid,host_id,z
ZTF20aatvhsf,SDSS J132736.94-030220.0,0.0615
ZTF20aatvhrt,WISEA J131146.52-044055.5,0.1999
ZTF20aatvhxe,WISEA J130656.24-051608.0,0.1717
ZTF20aatvfhq,WISEA J133847.10-024958.4,
ZTF20aatvccs,WISEA J143436.73-104037.3,
ZTF20aatvbft,CGMW 5-08456,
ZTF20aatuzla,WISEA J170628.21+634402.8,0.095862
ZTF20aatuyqf,WISEA J164656.41+633432.1,0.061522
ZTF20aatuwfl,WISEA J170754.82+041823.7,
ZTF20aatuwib,WISEA J170117.96+025440.7,
ZTF20aatuvvc,SDSS J164618.19+115738.5,0.053
ZTF20aatuvrk,SDSS J161844.65+111831.1,0.078
ZTF20aatuvbr,SDSS J164812.46+160046.9,0.074
ZTF20aatuvbn,SDSS J164732.99+164724.5,0.053
ZTF20aatuwri,SDSS J170651.43+264116.4,0.141
ZTF20aatuvjf,WISEA J181158.09+093511.5,
ZTF20aatuuao,WISEA J174907.41+142101.0,
ZTF20aatutuw,WISEA J173645.16+201948.4,
ZTF20aatutis,SDSS J173852.34+261841.7,0.113
ZTF20aatuuau,WISEA J181608.84+203351.5,
ZTF20aatutgn,SDSS J182306.59+232604.3,0.160
ZTF20aatuswz,WISEA J175319.97+323231.3,
ZTF20aatusjj,WISEA J175336.24+300322.8,
ZTF20aaturwi,UGC 10691 NED02,0.033747
ZTF20aatusgs,WISEA J184949.47+440402.7,
ZTF20aatpjxk,MaNGA 1-166930,0.072026
ZTF20aatuqtk,WISEA J184845.41+523703.0,
ZTF20aatuses,WISEA J190426.11+575437.8,
ZTF20aatpjja,WISE J092100.42+302101.6,0.06158
ZTF20aatpjpt,SDSS J095829.55+360649.8,0.169
ZTF20aatuqln,NGC 6195,0.030094
ZTF20aatpjrx,SDSS J095117.19+321228.0,0.127
ZTF20aatuqps,WISEA J164634.01+380127.7,0.085627
ZTF20aaohpim,[VV2006] J095701.5+320704,0.33
ZTF20aatuqge,WISEA J165527.80+380754.8,0.115323
ZTF20aatuqqu,SDSS J171952.89+444545.0,0.124
ZTF20aatpjhc,SDSS J103901.62+303611.0,0.146
ZTF20aatpirg,SDSS J092133.67+224817.3,0.219
ZTF20aatphop,SDSS J100709.77+232439.3,0.328
ZTF20aasspap,2MASX J10031053+1457252,0.078312
ZTF20aatphce,WISEA J101439.59+214403.4,0.107818
ZTF20aatpfvo,SDSS J103524.03+105149.0,0.096
ZTF20aatpfhl,SDSS J103142.58+151520.5,0.083
ZTF20aatuqdp,SDSS J174813.96+621911.0,0.115
ZTF20aatuqfy,SDSS J180256.52+633018.9,0.126
ZTF20aatuprg,SDSS J172550.78+675740.9,0.079
ZTF20aatuyut,SDSS J174028.36+612921.3,0.134
ZTF20aatupsp,SDSS J170615.62+572840.7,0.049
ZTF20aatupwl,WISEA J165620.85+542913.2,
ZTF20aatuocq,MCG +05-36-021,0.069515
ZTF20aatuyrz,SDSS J162958.50+555112.3,0.073
ZTF20aatumjy,SDSS J161941.43+555255.0,0.149
ZTF20aatunbk,SDSS J162237.34+582029.8,0.069
ZTF20aatunis,SDSS J161944.25+630428.7,0.252
ZTF20aatulug,SDSS J162005.55+614725.7,0.100
ZTF20aatumfn,SDSS J163703.31+622319.6,0.159
ZTF20aatulvs,WISEA J162055.76+712849.3,
ZTF20aatujlq,SDSS J153437.50+532845.2,0.150
ZTF20aatujxx,LCSB S2159P,0.158743
ZTF20aatugne,WISEA J151156.05+435450.2,0.154689
ZTF20aattzqy,2MASX J14445767+0919112,0.06104
ZTF20aattzxt,SDSS J145213.90+201236.5,0.134
