oid,host_id,z
ZTF20aanvswj,SDSS J173226.98+311708.7,0.126
ZTF20aanvvmv,SDSS J165903.37+353917.6,0.156
ZTF20aanvqhk,WISEA J161915.64+150711.2,0.081731
ZTF20aanvpzo,CGCG 076-111,0.036962
ZTF20aanvqbi,SDSS J145430.69+094226.1,0.032906
ZTF20aanvlil,SDSS J133501.96+042632.7,0.095
ZTF20aansktb,SDSS J130229.44+281216.0,0.081
ZTF20aansmra,WISEA J131744.30+165400.6,0.114959
ZTF20aansmkx,WISEA J131434.75+001803.5,0.081622
ZTF20aansmhs,WISEA J125324.51-102505.9,
ZTF20aansmlm,WISEA J123205.98-080745.4,
ZTF20aanjzgh,WISEA J121411.22+302527.3,0.14546
ZTF20aansbbo,SDSS J111811.27+262309.3,0.009396
ZTF20aanrgln,SDSS J092608.74+111130.4,0.123
ZTF20aamycyt,WISEA J112235.60+341700.3,0.08626
ZTF20aanrzak,SDSS J102156.43+071749.9,0.186
ZTF20aanrdek,SDSS J090828.21+015244.9,0.115
ZTF20aanrdwd,SDSS J085611.01+032700.3,0.212
ZTF20aanpgbc,WISEA J083607.45-053451.1,
ZTF20aamqaxb,WISEA J044825.35-144908.4,
ZTF20aanomwv,SDSS J074729.92+082139.3,0.174
ZTF20aanvtgg,WISEA J135616.56+093238.5,0.132841
