oid,host_id,z
ZTF20aafdbbb,WISEA J011611.74+072759.1,
ZTF20aafdarv,WISEA J015618.56-052729.1,0.098215
ZTF20aafdeza,SDSS J000531.09+255649.8,0.065
ZTF20aafdfvn,SDSS J004217.54+372415.3,0.171
ZTF20aafdhqm,PS1-13dgc,
ZTF20aafdkyg,SDSS J222745.29+385708.4,0.114
ZTF20aafdlmo,SDSS J233632.67+281305.6,0.117
ZTF20aafdmpa,AGC 748780,0.0372
ZTF20aafdmfp,WISEA J235740.89+140646.6,0.151602
ZTF20aafdmpp,SDSS J003145.82+161435.0,0.191
ZTF20aafdnms,WISEA J000511.17+483730.5,
ZTF20aafdupr,WISEA J030653.77-121033.6,
ZTF20aaffcse,WISEA J030635.22+743821.9,
ZTF20aafjjnm,SDSS J090644.67+425108.8,0.134
ZTF20aafjmdg,SDSS J090211.84+144310.6,0.101
ZTF20aafgbrf,WISEA J062821.96+213847.8,
