oid,host_id,z
ZTF20aauktvp,WISEA J050802.62+103803.9,
ZTF20aaunfjr,SDSS J151505.26+585653.2,0.160
ZTF20aauniwd,SDSS J145449.86+334933.5,0.149
ZTF20aaulcbz,WISEA J091101.80-145959.5,
ZTF20aauktid,SDSS J044020.99+214245.5,0.211
ZTF20aaullts,GALEXASC J111025.94-182254.6,
ZTF20aaummjo,WISEA J134513.59-240749.4,
ZTF20aaukwib,WISEA J044608.55+753615.2,
ZTF20aaunnul,WISEA J134935.61+263127.2,0.062146
ZTF20aaumnfl,WISEA J123157.79-203303.8,0.044671
ZTF20aauoawa,SDSS J162607.16+542746.7,0.264
ZTF20aaulgfl,WISEA J094047.70-250302.5,
ZTF20aatxcyx,SDSS J093637.79+595921.7,0.186
ZTF20aatupsm,SDSS J151736.61+571106.3,0.058
ZTF20aaumlmi,WISEA J134627.82-273428.1,0.040088
ZTF20aaukxmb,SDSS J052811.33+044606.8,0.076
ZTF20aaunsyk,SDSS J150703.30+300616.1,0.070317
ZTF20aaulsmt,WISEA J115013.82-040345.6,
ZTF20aaumllb,WISEA J134606.03-255454.7,
ZTF20aaunkkc,WISEA J164440.48+741159.2,
ZTF20aaulpbg,2dFGRS TGN171Z327,0.047107
ZTF20aaulcup,SDSS J082416.11-063230.2,0.226
ZTF20aaumlmu,WISEA J133119.09-270742.0,0.04331
ZTF20aaukwcg,WISEA J035703.27+841545.8,
ZTF20aaulajo,CGCG 260-013,0.028907
ZTF20aauliqs,WISEA J060113.25+363633.5,
ZTF20aaukrxm,WISEA J053037.68+092800.8,
ZTF20aaulsvu,SDSS J115350.57-015241.6,0.08404
ZTF20aaumwqh,WISEA J135413.47-015157.3,0.087898
ZTF20aaukrus,WISEA J051722.05+190806.2,
ZTF20aauktau,UGC 02730,0.012582
ZTF20aaukuaa,NGC  2674,0.017865
ZTF20aaummmc,WISEA J125303.79-152701.4,0.042993
ZTF20aaukvat,WISEA J073947.06-074630.6,
ZTF20aaultba,SDSS J120539.68-025329.6,0.1435
ZTF20aaullwz,WISEA J113324.05-092056.4,
ZTF20aaukuzn,WISEA J074548.44-074546.6,
ZTF20aaukvoa,WISEA J062244.70+375406.1,
ZTF20aaulgac,WISEA J091335.61-232948.7,
ZTF20aaunpkg,SDSS J123017.15+201024.1,0.097
ZTF20aauhaqv,WISEA J180712.18+562656.7,
