oid,host_id,z
ZTF20acwyutv,SDSS J151614.67+012616.5,0.147
ZTF20acwquhu,WISEA J145418.42+034541.3,0.123324
ZTF20acwycxc,WISEA J124116.50+694019.5,
ZTF20acwxvtp,WISEA J102755.55-122148.1,
ZTF20acwxvly,SDSS J104359.26+074545.2,0.164
ZTF20acwpgtw,WISEA J105305.77-001836.9,0.126308
ZTF20acwyims,SDSS J143350.75+162657.6,0.050
ZTF20acwyihb,WISEA J143815.55+214456.1,0.062157
ZTF20acwsgyp,SDSS J003452.02+310555.8,0.127
ZTF20acwytnb,SDSS J145329.03+113757.4,0.141
ZTF20acwoewh,SDSS J103623.81+580538.9,0.115
ZTF20acwxhis,2MASS J10592851+5702519,0.133024
ZTF20acwoeid,WISEA J090649.31+682020.6,
ZTF20acwnxgz,WHL J080731.2+155509,0.10265
ZTF20acwvriv,WISEA J055716.00+104024.5,
ZTF20acwtfff,SDSS J034804.35+162715.7,0.078
ZTF20acwnmks,WISEA J055909.54+680017.7,
ZTF20acwjrmn,WISEA J045708.92+063705.3,
ZTF20acvfpbq,SDSS J223221.47-025442.1,0.115
ZTF20acvfwkp,WISEA J212400.81+304711.4,
ZTF20acvgfyq,SDSS J220411.81+193229.6,0.157
ZTF20acwrybw,SDSS J233608.99+223242.9,0.045
ZTF20acwsctu,SDSS J230104.91+002447.6,0.134
ZTF20acwyknf,SDSS J121220.57+060106.0,0.162
ZTF20acwyiav,SDSS J152445.65+414046.3,0.258
