oid,host_id,z
ZTF20acegoar,SDSS J002446.91-201314.9,0.376
ZTF20acectxy,WISEA J183542.56+485406.5,
ZTF20acejclr,SDSS J031336.92-160243.1,0.114
ZTF20acejcco,WISEA J030845.94-230835.5,
ZTF20aaiwdwf,WISEA J072058.13+744551.3,
ZTF20acejapm,WISEA J025447.22-214054.7,
ZTF20acegbyr,SDSS J224903.09-033320.8,0.208
ZTF20acejcnx,WISEA J025919.63-224714.4,
ZTF20acegazd,WISEA J233419.32-113736.7,
ZTF20aceggbn,WISEA J005851.99+865319.1,
ZTF20acefntz,SDSS J015153.88+012649.2,0.134
ZTF20acedqis,SDSS J213036.72+244026.9,0.078
ZTF20acduffd,CGCG 539-037,0.019544
ZTF20acdqjeq,NGC 0812,0.017222
ZTF20acefpqg,2MASX J01161151-0018591,0.078101
ZTF20acdreek,SDSS J002300.67+105748.8,0.076
ZTF20aceguwi,SDSS J011454.53+015457.8,0.334
ZTF20acegafg,SDSS J221957.84+020336.6,0.188
ZTF20aceeifc,SDSS J223209.34+044626.9,0.156
ZTF20aceexla,WISEA J001124.18-235143.8,
ZTF20aceijoq,GALEXASC J021324.73-142441.1,
ZTF20aceicaf,SDSS J030550.78-162604.5,0.071
